As At Month,Visa Type,Occupation,EOI Status,Points,Count EOIs
08/2024,189PTS Points-Tested Stream,133111 Construction Project Manager,SUBMITTED,35,<20
08/2024,189PTS Points-Tested Stream,133111 Construction Project Manager,SUBMITTED,40,<20
08/2024,189PTS Points-Tested Stream,133111 Construction Project Manager,SUBMITTED,45,<20
08/2024,189PTS Points-Tested Stream,133111 Construction Project Manager,SUBMITTED,50,24
08/2024,189PTS Points-Tested Stream,133111 Construction Project Manager,SUBMITTED,55,73
08/2024,189PTS Points-Tested Stream,133111 Construction Project Manager,SUBMITTED,60,135
08/2024,189PTS Points-Tested Stream,133111 Construction Project Manager,SUBMITTED,65,425
08/2024,189PTS Points-Tested Stream,133111 Construction Project Manager,SUBMITTED,70,403
08/2024,189PTS Points-Tested Stream,133111 Construction Project Manager,SUBMITTED,75,365
08/2024,189PTS Points-Tested Stream,133111 Construction Project Manager,SUBMITTED,80,179
08/2024,189PTS Points-Tested Stream,133111 Construction Project Manager,SUBMITTED,85,57
08/2024,189PTS Points-Tested Stream,133111 Construction Project Manager,SUBMITTED,90,25
08/2024,189PTS Points-Tested Stream,133111 Construction Project Manager,SUBMITTED,95,<20
08/2024,189PTS Points-Tested Stream,133111 Construction Project Manager,SUBMITTED,100,<20
08/2024,189PTS Points-Tested Stream,133111 Construction Project Manager,LODGED,55,<20
08/2024,189PTS Points-Tested Stream,133111 Construction Project Manager,LODGED,60,<20
08/2024,189PTS Points-Tested Stream,133111 Construction Project Manager,LODGED,65,<20
08/2024,189PTS Points-Tested Stream,133111 Construction Project Manager,LODGED,70,<20
08/2024,189PTS Points-Tested Stream,133111 Construction Project Manager,LODGED,75,<20
08/2024,189PTS Points-Tested Stream,133111 Construction Project Manager,LODGED,80,<20
08/2024,189PTS Points-Tested Stream,133111 Construction Project Manager,LODGED,85,<20
08/2024,189PTS Points-Tested Stream,133111 Construction Project Manager,LODGED,90,<20
08/2024,189PTS Points-Tested Stream,133111 Construction Project Manager,LODGED,95,<20
08/2024,189PTS Points-Tested Stream,133111 Construction Project Manager,INVITED,60,<20
08/2024,189PTS Points-Tested Stream,133111 Construction Project Manager,INVITED,75,<20
08/2024,189PTS Points-Tested Stream,133111 Construction Project Manager,INVITED,85,<20
08/2024,189PTS Points-Tested Stream,133111 Construction Project Manager,HOLD,55,<20
08/2024,189PTS Points-Tested Stream,133111 Construction Project Manager,HOLD,65,<20
08/2024,189PTS Points-Tested Stream,133111 Construction Project Manager,HOLD,70,<20
08/2024,189PTS Points-Tested Stream,133111 Construction Project Manager,HOLD,75,<20
08/2024,189PTS Points-Tested Stream,133111 Construction Project Manager,HOLD,80,<20
08/2024,189PTS Points-Tested Stream,133111 Construction Project Manager,HOLD,85,<20
08/2024,189PTS Points-Tested Stream,133111 Construction Project Manager,HOLD,100,<20
08/2024,189PTS Points-Tested Stream,133111 Construction Project Manager,CLOSED,25,<20
08/2024,189PTS Points-Tested Stream,133111 Construction Project Manager,CLOSED,40,<20
08/2024,189PTS Points-Tested Stream,133111 Construction Project Manager,CLOSED,45,<20
08/2024,189PTS Points-Tested Stream,133111 Construction Project Manager,CLOSED,50,<20
08/2024,189PTS Points-Tested Stream,133111 Construction Project Manager,CLOSED,55,24
08/2024,189PTS Points-Tested Stream,133111 Construction Project Manager,CLOSED,60,34
08/2024,189PTS Points-Tested Stream,133111 Construction Project Manager,CLOSED,65,200
08/2024,189PTS Points-Tested Stream,133111 Construction Project Manager,CLOSED,70,168
08/2024,189PTS Points-Tested Stream,133111 Construction Project Manager,CLOSED,75,144
