As At Month,Visa Type,Occupation,EOI Status,Points,Count EOIs
04/2025,190SAS Skilled Australian Sponsored,121212 Flower Grower,SUBMITTED,65,<20
04/2025,190SAS Skilled Australian Sponsored,121212 Flower Grower,SUBMITTED,70,<20
04/2025,190SAS Skilled Australian Sponsored,121212 Flower Grower,SUBMITTED,75,<20
04/2025,190SAS Skilled Australian Sponsored,121212 Flower Grower,SUBMITTED,80,<20
04/2025,190SAS Skilled Australian Sponsored,121221 Vegetable Grower,SUBMITTED,60,<20
04/2025,190SAS Skilled Australian Sponsored,121221 Vegetable Grower,SUBMITTED,70,<20
04/2025,190SAS Skilled Australian Sponsored,121221 Vegetable Grower,SUBMITTED,75,<20
04/2025,190SAS Skilled Australian Sponsored,121221 Vegetable Grower,SUBMITTED,80,<20
04/2025,190SAS Skilled Australian Sponsored,121221 Vegetable Grower,SUBMITTED,85,<20
04/2025,190SAS Skilled Australian Sponsored,121221 Vegetable Grower,LODGED,80,<20
04/2025,190SAS Skilled Australian Sponsored,121221 Vegetable Grower,LODGED,85,<20
04/2025,190SAS Skilled Australian Sponsored,121221 Vegetable Grower,INVITED,80,<20
04/2025,190SAS Skilled Australian Sponsored,121221 Vegetable Grower,CLOSED,70,<20
04/2025,190SAS Skilled Australian Sponsored,121221 Vegetable Grower,CLOSED,75,<20
04/2025,190SAS Skilled Australian Sponsored,121221 Vegetable Grower,CLOSED,80,<20
04/2025,190SAS Skilled Australian Sponsored,121221 Vegetable Grower,CLOSED,85,<20
04/2025,190SAS Skilled Australian Sponsored,121311 Apiarist,SUBMITTED,60,<20
04/2025,190SAS Skilled Australian Sponsored,121311 Apiarist,SUBMITTED,65,<20
04/2025,190SAS Skilled Australian Sponsored,121321 Poultry Farmer,SUBMITTED,60,<20
04/2025,190SAS Skilled Australian Sponsored,121321 Poultry Farmer,SUBMITTED,65,<20
04/2025,190SAS Skilled Australian Sponsored,121321 Poultry Farmer,SUBMITTED,70,<20
04/2025,190SAS Skilled Australian Sponsored,121321 Poultry Farmer,SUBMITTED,75,<20
04/2025,190SAS Skilled Australian Sponsored,121321 Poultry Farmer,SUBMITTED,80,<20
04/2025,190SAS Skilled Australian Sponsored,121321 Poultry Farmer,LODGED,65,<20
04/2025,190SAS Skilled Australian Sponsored,121321 Poultry Farmer,CLOSED,65,<20
04/2025,190SAS Skilled Australian Sponsored,121321 Poultry Farmer,CLOSED,75,<20
04/2025,190SAS Skilled Australian Sponsored,121321 Poultry Farmer,CLOSED,80,<20
04/2025,190SAS Skilled Australian Sponsored,131112 Sales and Marketing Manager,SUBMITTED,45,<20
04/2025,190SAS Skilled Australian Sponsored,131112 Sales and Marketing Manager,SUBMITTED,50,<20
04/2025,190SAS Skilled Australian Sponsored,131112 Sales and Marketing Manager,SUBMITTED,55,<20
04/2025,190SAS Skilled Australian Sponsored,131112 Sales and Marketing Manager,SUBMITTED,60,20
04/2025,190SAS Skilled Australian Sponsored,131112 Sales and Marketing Manager,SUBMITTED,65,51
04/2025,190SAS Skilled Australian Sponsored,131112 Sales and Marketing Manager,SUBMITTED,70,78
04/2025,190SAS Skilled Australian Sponsored,131112 Sales and Marketing Manager,SUBMITTED,75,58
04/2025,190SAS Skilled Australian Sponsored,131112 Sales and Marketing Manager,SUBMITTED,80,47
04/2025,190SAS Skilled Australian Sponsored,131112 Sales and Marketing Manager,SUBMITTED,85,33
04/2025,190SAS Skilled Australian Sponsored,131112 Sales and Marketing Manager,SUBMITTED,90,<20
04/2025,190SAS Skilled Australian Sponsored,131112 Sales and Marketing Manager,SUBMITTED,95,<20
04/2025,190SAS Skilled Australian Sponsored,131112 Sales and Marketing Manager,SUBMITTED,100,<20
04/2025,190SAS Skilled Australian Sponsored,131112 Sales and Marketing Manager,SUBMITTED,105,<20
04/2025,190SAS Skilled Australian Sponsored,131112 Sales and Marketing Manager,LODGED,70,<20
04/2025,190SAS Skilled Australian Sponsored,131112 Sales and Marketing Manager,LODGED,75,<20
04/2025,190SAS Skilled Australian Sponsored,131112 Sales and Marketing Manager,LODGED,80,<20
04/2025,190SAS Skilled Australian Sponsored,131112 Sales and Marketing Manager,LODGED,85,<20
04/2025,190SAS Skilled Australian Sponsored,131112 Sales and Marketing Manager,HOLD,55,<20
04/2025,190SAS Skilled Australian Sponsored,131112 Sales and Marketing Manager,HOLD,65,<20
04/2025,190SAS Skilled Australian Sponsored,131112 Sales and Marketing Manager,HOLD,80,<20
04/2025,190SAS Skilled Australian Sponsored,131112 Sales and Marketing Manager,HOLD,85,<20
04/2025,190SAS Skilled Australian Sponsored,131112 Sales and Marketing Manager,HOLD,90,<20
04/2025,190SAS Skilled Australian Sponsored,131112 Sales and Marketing Manager,HOLD,95,<20
04/2025,190SAS Skilled Australian Sponsored,131112 Sales and Marketing Manager,CLOSED,45,<20
04/2025,190SAS Skilled Australian Sponsored,131112 Sales and Marketing Manager,CLOSED,50,<20
04/2025,190SAS Skilled Australian Sponsored,131112 Sales and Marketing Manager,CLOSED,55,<20
04/2025,190SAS Skilled Australian Sponsored,131112 Sales and Marketing Manager,CLOSED,60,<20
04/2025,190SAS Skilled Australian Sponsored,131112 Sales and Marketing Manager,CLOSED,65,24
04/2025,190SAS Skilled Australian Sponsored,131112 Sales and Marketing Manager,CLOSED,70,27
04/2025,190SAS Skilled Australian Sponsored,131112 Sales and Marketing Manager,CLOSED,75,27
04/2025,190SAS Skilled Australian Sponsored,131112 Sales and Marketing Manager,CLOSED,80,<20
04/2025,190SAS Skilled Australian Sponsored,131112 Sales and Marketing Manager,CLOSED,85,<20
04/2025,190SAS Skilled Australian Sponsored,131112 Sales and Marketing Manager,CLOSED,90,<20
04/2025,190SAS Skilled Australian Sponsored,131112 Sales and Marketing Manager,CLOSED,95,<20
04/2025,190SAS Skilled Australian Sponsored,131112 Sales and Marketing Manager,CLOSED,100,<20
04/2025,190SAS Skilled Australian Sponsored,131113 Advertising Manager,SUBMITTED,55,<20
04/2025,190SAS Skilled Australian Sponsored,131113 Advertising Manager,SUBMITTED,60,<20
04/2025,190SAS Skilled Australian Sponsored,131113 Advertising Manager,SUBMITTED,65,<20
04/2025,190SAS Skilled Australian Sponsored,131113 Advertising Manager,SUBMITTED,70,<20
04/2025,190SAS Skilled Australian Sponsored,131113 Advertising Manager,SUBMITTED,75,<20
04/2025,190SAS Skilled Australian Sponsored,131113 Advertising Manager,SUBMITTED,80,<20
04/2025,190SAS Skilled Australian Sponsored,131113 Advertising Manager,SUBMITTED,85,<20
04/2025,190SAS Skilled Australian Sponsored,131113 Advertising Manager,SUBMITTED,90,<20
04/2025,190SAS Skilled Australian Sponsored,131113 Advertising Manager,LODGED,75,<20
04/2025,190SAS Skilled Australian Sponsored,131113 Advertising Manager,CLOSED,60,<20
04/2025,190SAS Skilled Australian Sponsored,131113 Advertising Manager,CLOSED,70,<20
04/2025,190SAS Skilled Australian Sponsored,131113 Advertising Manager,CLOSED,75,<20
04/2025,190SAS Skilled Australian Sponsored,131113 Advertising Manager,CLOSED,80,<20
04/2025,190SAS Skilled Australian Sponsored,131113 Advertising Manager,CLOSED,85,<20
04/2025,190SAS Skilled Australian Sponsored,131113 Advertising Manager,CLOSED,90,<20
04/2025,190SAS Skilled Australian Sponsored,132111 Corporate Services Manager,SUBMITTED,55,<20
04/2025,190SAS Skilled Australian Sponsored,132111 Corporate Services Manager,SUBMITTED,60,<20
04/2025,190SAS Skilled Australian Sponsored,132111 Corporate Services Manager,SUBMITTED,65,<20
04/2025,190SAS Skilled Australian Sponsored,132111 Corporate Services Manager,SUBMITTED,70,<20
04/2025,190SAS Skilled Australian Sponsored,132111 Corporate Services Manager,SUBMITTED,75,<20
04/2025,190SAS Skilled Australian Sponsored,132111 Corporate Services Manager,SUBMITTED,80,<20
04/2025,190SAS Skilled Australian Sponsored,132111 Corporate Services Manager,SUBMITTED,85,<20
04/2025,190SAS Skilled Australian Sponsored,132111 Corporate Services Manager,SUBMITTED,90,<20
04/2025,190SAS Skilled Australian Sponsored,132111 Corporate Services Manager,SUBMITTED,95,<20
04/2025,190SAS Skilled Australian Sponsored,132111 Corporate Services Manager,LODGED,85,<20
04/2025,190SAS Skilled Australian Sponsored,132111 Corporate Services Manager,CLOSED,65,<20
04/2025,190SAS Skilled Australian Sponsored,132111 Corporate Services Manager,CLOSED,70,<20
04/2025,190SAS Skilled Australian Sponsored,132111 Corporate Services Manager,CLOSED,75,<20
04/2025,190SAS Skilled Australian Sponsored,132111 Corporate Services Manager,CLOSED,80,<20
04/2025,190SAS Skilled Australian Sponsored,132111 Corporate Services Manager,CLOSED,85,<20
04/2025,190SAS Skilled Australian Sponsored,132111 Corporate Services Manager,CLOSED,90,<20
04/2025,190SAS Skilled Australian Sponsored,132111 Corporate Services Manager,CLOSED,95,<20
04/2025,190SAS Skilled Australian Sponsored,132211 Finance Manager,SUBMITTED,55,<20
04/2025,190SAS Skilled Australian Sponsored,132211 Finance Manager,SUBMITTED,60,32
04/2025,190SAS Skilled Australian Sponsored,132211 Finance Manager,SUBMITTED,65,95
04/2025,190SAS Skilled Australian Sponsored,132211 Finance Manager,SUBMITTED,70,153
04/2025,190SAS Skilled Australian Sponsored,132211 Finance Manager,SUBMITTED,75,171
04/2025,190SAS Skilled Australian Sponsored,132211 Finance Manager,SUBMITTED,80,166
04/2025,190SAS Skilled Australian Sponsored,132211 Finance Manager,SUBMITTED,85,112
04/2025,190SAS Skilled Australian Sponsored,132211 Finance Manager,SUBMITTED,90,119
04/2025,190SAS Skilled Australian Sponsored,132211 Finance Manager,SUBMITTED,95,27
04/2025,190SAS Skilled Australian Sponsored,132211 Finance Manager,SUBMITTED,100,<20
04/2025,190SAS Skilled Australian Sponsored,132211 Finance Manager,LODGED,75,<20
04/2025,190SAS Skilled Australian Sponsored,132211 Finance Manager,LODGED,85,<20
04/2025,190SAS Skilled Australian Sponsored,132211 Finance Manager,LODGED,90,<20
04/2025,190SAS Skilled Australian Sponsored,132211 Finance Manager,INVITED,80,<20
04/2025,190SAS Skilled Australian Sponsored,132211 Finance Manager,INVITED,90,<20
04/2025,190SAS Skilled Australian Sponsored,132211 Finance Manager,HOLD,60,<20
04/2025,190SAS Skilled Australian Sponsored,132211 Finance Manager,HOLD,70,<20
04/2025,190SAS Skilled Australian Sponsored,132211 Finance Manager,HOLD,75,<20
04/2025,190SAS Skilled Australian Sponsored,132211 Finance Manager,HOLD,80,<20
04/2025,190SAS Skilled Australian Sponsored,132211 Finance Manager,HOLD,85,<20
04/2025,190SAS Skilled Australian Sponsored,132211 Finance Manager,HOLD,90,<20
04/2025,190SAS Skilled Australian Sponsored,132211 Finance Manager,HOLD,95,<20
04/2025,190SAS Skilled Australian Sponsored,132211 Finance Manager,CLOSED,50,<20
04/2025,190SAS Skilled Australian Sponsored,132211 Finance Manager,CLOSED,55,<20
04/2025,190SAS Skilled Australian Sponsored,132211 Finance Manager,CLOSED,60,21
04/2025,190SAS Skilled Australian Sponsored,132211 Finance Manager,CLOSED,65,66
04/2025,190SAS Skilled Australian Sponsored,132211 Finance Manager,CLOSED,70,101
04/2025,190SAS Skilled Australian Sponsored,132211 Finance Manager,CLOSED,75,142
04/2025,190SAS Skilled Australian Sponsored,132211 Finance Manager,CLOSED,80,116
04/2025,190SAS Skilled Australian Sponsored,132211 Finance Manager,CLOSED,85,90
04/2025,190SAS Skilled Australian Sponsored,132211 Finance Manager,CLOSED,90,77
04/2025,190SAS Skilled Australian Sponsored,132211 Finance Manager,CLOSED,95,26
04/2025,190SAS Skilled Australian Sponsored,132211 Finance Manager,CLOSED,100,<20
04/2025,190SAS Skilled Australian Sponsored,132211 Finance Manager,CLOSED,105,<20
04/2025,190SAS Skilled Australian Sponsored,132311 Human Resource Manager,SUBMITTED,40,<20
04/2025,190SAS Skilled Australian Sponsored,132311 Human Resource Manager,SUBMITTED,45,<20
04/2025,190SAS Skilled Australian Sponsored,132311 Human Resource Manager,SUBMITTED,55,<20
04/2025,190SAS Skilled Australian Sponsored,132311 Human Resource Manager,SUBMITTED,60,<20
04/2025,190SAS Skilled Australian Sponsored,132311 Human Resource Manager,SUBMITTED,65,28
04/2025,190SAS Skilled Australian Sponsored,132311 Human Resource Manager,SUBMITTED,70,44
04/2025,190SAS Skilled Australian Sponsored,132311 Human Resource Manager,SUBMITTED,75,47
04/2025,190SAS Skilled Australian Sponsored,132311 Human Resource Manager,SUBMITTED,80,25
04/2025,190SAS Skilled Australian Sponsored,132311 Human Resource Manager,SUBMITTED,85,<20
04/2025,190SAS Skilled Australian Sponsored,132311 Human Resource Manager,SUBMITTED,90,<20
04/2025,190SAS Skilled Australian Sponsored,132311 Human Resource Manager,SUBMITTED,95,<20
04/2025,190SAS Skilled Australian Sponsored,132311 Human Resource Manager,SUBMITTED,100,<20
04/2025,190SAS Skilled Australian Sponsored,132311 Human Resource Manager,LODGED,70,<20
04/2025,190SAS Skilled Australian Sponsored,132311 Human Resource Manager,LODGED,80,<20
04/2025,190SAS Skilled Australian Sponsored,132311 Human Resource Manager,HOLD,80,<20
04/2025,190SAS Skilled Australian Sponsored,132311 Human Resource Manager,HOLD,85,<20
04/2025,190SAS Skilled Australian Sponsored,132311 Human Resource Manager,HOLD,95,<20
04/2025,190SAS Skilled Australian Sponsored,132311 Human Resource Manager,CLOSED,60,<20
04/2025,190SAS Skilled Australian Sponsored,132311 Human Resource Manager,CLOSED,65,26
04/2025,190SAS Skilled Australian Sponsored,132311 Human Resource Manager,CLOSED,70,37
04/2025,190SAS Skilled Australian Sponsored,132311 Human Resource Manager,CLOSED,75,<20
04/2025,190SAS Skilled Australian Sponsored,132311 Human Resource Manager,CLOSED,80,20
04/2025,190SAS Skilled Australian Sponsored,132311 Human Resource Manager,CLOSED,85,<20
04/2025,190SAS Skilled Australian Sponsored,132311 Human Resource Manager,CLOSED,90,<20
04/2025,190SAS Skilled Australian Sponsored,132311 Human Resource Manager,CLOSED,95,<20
04/2025,190SAS Skilled Australian Sponsored,132511 Research and Development Manager,SUBMITTED,55,<20
04/2025,190SAS Skilled Australian Sponsored,132511 Research and Development Manager,SUBMITTED,60,<20
04/2025,190SAS Skilled Australian Sponsored,132511 Research and Development Manager,SUBMITTED,65,<20
04/2025,190SAS Skilled Australian Sponsored,132511 Research and Development Manager,SUBMITTED,70,44
04/2025,190SAS Skilled Australian Sponsored,132511 Research and Development Manager,SUBMITTED,75,31
04/2025,190SAS Skilled Australian Sponsored,132511 Research and Development Manager,SUBMITTED,80,40
04/2025,190SAS Skilled Australian Sponsored,132511 Research and Development Manager,SUBMITTED,85,32
04/2025,190SAS Skilled Australian Sponsored,132511 Research and Development Manager,SUBMITTED,90,<20
04/2025,190SAS Skilled Australian Sponsored,132511 Research and Development Manager,SUBMITTED,95,<20
04/2025,190SAS Skilled Australian Sponsored,132511 Research and Development Manager,SUBMITTED,100,<20
04/2025,190SAS Skilled Australian Sponsored,132511 Research and Development Manager,LODGED,75,<20
04/2025,190SAS Skilled Australian Sponsored,132511 Research and Development Manager,LODGED,80,<20
04/2025,190SAS Skilled Australian Sponsored,132511 Research and Development Manager,LODGED,85,<20
04/2025,190SAS Skilled Australian Sponsored,132511 Research and Development Manager,LODGED,90,<20
04/2025,190SAS Skilled Australian Sponsored,132511 Research and Development Manager,INVITED,90,<20
04/2025,190SAS Skilled Australian Sponsored,132511 Research and Development Manager,HOLD,60,<20
04/2025,190SAS Skilled Australian Sponsored,132511 Research and Development Manager,HOLD,80,<20
04/2025,190SAS Skilled Australian Sponsored,132511 Research and Development Manager,CLOSED,55,<20
04/2025,190SAS Skilled Australian Sponsored,132511 Research and Development Manager,CLOSED,60,<20
04/2025,190SAS Skilled Australian Sponsored,132511 Research and Development Manager,CLOSED,65,<20
04/2025,190SAS Skilled Australian Sponsored,132511 Research and Development Manager,CLOSED,70,<20
04/2025,190SAS Skilled Australian Sponsored,132511 Research and Development Manager,CLOSED,75,<20
04/2025,190SAS Skilled Australian Sponsored,132511 Research and Development Manager,CLOSED,80,<20
04/2025,190SAS Skilled Australian Sponsored,132511 Research and Development Manager,CLOSED,85,<20
04/2025,190SAS Skilled Australian Sponsored,132511 Research and Development Manager,CLOSED,90,<20
04/2025,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,SUBMITTED,40,<20
04/2025,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,SUBMITTED,50,<20
04/2025,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,SUBMITTED,55,<20
04/2025,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,SUBMITTED,60,55
04/2025,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,SUBMITTED,65,141
04/2025,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,SUBMITTED,70,313
04/2025,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,SUBMITTED,75,267
04/2025,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,SUBMITTED,80,218
04/2025,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,SUBMITTED,85,76
04/2025,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,SUBMITTED,90,39
04/2025,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,SUBMITTED,95,<20
04/2025,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,SUBMITTED,105,<20
04/2025,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,LODGED,70,<20
04/2025,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,LODGED,75,40
04/2025,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,LODGED,80,81
04/2025,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,LODGED,85,58
04/2025,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,LODGED,90,<20
04/2025,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,LODGED,95,<20
04/2025,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,INVITED,75,<20
04/2025,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,INVITED,80,<20
04/2025,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,INVITED,85,<20
04/2025,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,INVITED,90,<20
04/2025,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,INVITED,95,<20
04/2025,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,HOLD,60,<20
04/2025,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,HOLD,70,<20
04/2025,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,HOLD,75,<20
04/2025,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,HOLD,80,<20
04/2025,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,HOLD,85,<20
04/2025,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,HOLD,90,<20
04/2025,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,HOLD,95,<20
04/2025,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,HOLD,100,<20
04/2025,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,CLOSED,45,<20
04/2025,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,CLOSED,50,<20
04/2025,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,CLOSED,55,<20
04/2025,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,CLOSED,60,39
04/2025,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,CLOSED,65,108
04/2025,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,CLOSED,70,169
04/2025,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,CLOSED,75,126
04/2025,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,CLOSED,80,147
04/2025,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,CLOSED,85,68
04/2025,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,CLOSED,90,50
04/2025,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,CLOSED,95,<20
04/2025,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,CLOSED,100,<20
04/2025,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,CLOSED,105,<20
04/2025,190SAS Skilled Australian Sponsored,133211 Engineering Manager,SUBMITTED,50,<20
04/2025,190SAS Skilled Australian Sponsored,133211 Engineering Manager,SUBMITTED,55,<20
04/2025,190SAS Skilled Australian Sponsored,133211 Engineering Manager,SUBMITTED,60,<20
04/2025,190SAS Skilled Australian Sponsored,133211 Engineering Manager,SUBMITTED,65,31
04/2025,190SAS Skilled Australian Sponsored,133211 Engineering Manager,SUBMITTED,70,87
04/2025,190SAS Skilled Australian Sponsored,133211 Engineering Manager,SUBMITTED,75,48
04/2025,190SAS Skilled Australian Sponsored,133211 Engineering Manager,SUBMITTED,80,41
04/2025,190SAS Skilled Australian Sponsored,133211 Engineering Manager,SUBMITTED,85,<20
04/2025,190SAS Skilled Australian Sponsored,133211 Engineering Manager,SUBMITTED,90,<20
04/2025,190SAS Skilled Australian Sponsored,133211 Engineering Manager,SUBMITTED,95,<20
04/2025,190SAS Skilled Australian Sponsored,133211 Engineering Manager,LODGED,75,<20
04/2025,190SAS Skilled Australian Sponsored,133211 Engineering Manager,LODGED,80,20
04/2025,190SAS Skilled Australian Sponsored,133211 Engineering Manager,LODGED,85,<20
