As At Month,Visa Type,Occupation,EOI Status,Points,Count EOIs
02/2024,189PTS Points-Tested Stream,133111 Construction Project Manager,SUBMITTED,35,<20
02/2024,189PTS Points-Tested Stream,133111 Construction Project Manager,SUBMITTED,45,<20
02/2024,189PTS Points-Tested Stream,133111 Construction Project Manager,SUBMITTED,50,<20
02/2024,189PTS Points-Tested Stream,133111 Construction Project Manager,SUBMITTED,55,55
02/2024,189PTS Points-Tested Stream,133111 Construction Project Manager,SUBMITTED,60,99
02/2024,189PTS Points-Tested Stream,133111 Construction Project Manager,SUBMITTED,65,343
02/2024,189PTS Points-Tested Stream,133111 Construction Project Manager,SUBMITTED,70,301
02/2024,189PTS Points-Tested Stream,133111 Construction Project Manager,SUBMITTED,75,243
02/2024,189PTS Points-Tested Stream,133111 Construction Project Manager,SUBMITTED,80,124
02/2024,189PTS Points-Tested Stream,133111 Construction Project Manager,SUBMITTED,85,58
02/2024,189PTS Points-Tested Stream,133111 Construction Project Manager,SUBMITTED,90,21
02/2024,189PTS Points-Tested Stream,133111 Construction Project Manager,SUBMITTED,95,<20
02/2024,189PTS Points-Tested Stream,133111 Construction Project Manager,SUBMITTED,100,<20
02/2024,189PTS Points-Tested Stream,133111 Construction Project Manager,LODGED,55,<20
02/2024,189PTS Points-Tested Stream,133111 Construction Project Manager,LODGED,60,<20
02/2024,189PTS Points-Tested Stream,133111 Construction Project Manager,LODGED,65,<20
02/2024,189PTS Points-Tested Stream,133111 Construction Project Manager,LODGED,70,21
02/2024,189PTS Points-Tested Stream,133111 Construction Project Manager,LODGED,75,<20
02/2024,189PTS Points-Tested Stream,133111 Construction Project Manager,LODGED,80,<20
02/2024,189PTS Points-Tested Stream,133111 Construction Project Manager,LODGED,85,<20
02/2024,189PTS Points-Tested Stream,133111 Construction Project Manager,LODGED,90,<20
02/2024,189PTS Points-Tested Stream,133111 Construction Project Manager,LODGED,95,<20
02/2024,189PTS Points-Tested Stream,133111 Construction Project Manager,INVITED,75,<20
02/2024,189PTS Points-Tested Stream,133111 Construction Project Manager,INVITED,80,<20
02/2024,189PTS Points-Tested Stream,133111 Construction Project Manager,HOLD,50,<20
02/2024,189PTS Points-Tested Stream,133111 Construction Project Manager,HOLD,55,<20
02/2024,189PTS Points-Tested Stream,133111 Construction Project Manager,HOLD,60,<20
02/2024,189PTS Points-Tested Stream,133111 Construction Project Manager,HOLD,65,<20
